Time [s],GPIO4,GPIO5

0.000000000,1,0
0.000001208,1,1
0.000002375,1,0
0.000003958,1,1
0.000005125,1,0
0.000005417,0,0
0.000006750,0,1
0.000007875,0,0
0.000008250,1,0
0.000009500,1,1
0.000010667,1,0
0.000010958,0,0
0.000012250,0,1
0.000013417,0,0
0.000015042,0,1
0.000016208,0,0
0.000017792,0,1
0.000018958,0,0
0.000020542,0,1
0.000021708,0,0
0.000023333,0,1
0.000024458,0,0
0.000024542,1,0
0.000024792,0,0
0.000026083,0,1
0.000027250,0,0
0.000028833,0,1
0.000030000,0,0
0.000030375,1,0
0.000031583,1,1
0.000032750,1,0
0.000034333,1,1
0.000035500,1,0
0.000037125,1,1
0.000038292,1,0
0.000038583,0,0
0.000039875,0,1
0.000041042,0,0
0.000041417,1,0
0.000042625,1,1
0.000043792,1,0
0.000045375,1,1
0.000046542,1,0
0.000046625,0,0
0.000048167,0,1
0.000049333,0,0
0.000049375,1,0
0.000050917,1,1
0.000052208,0,1
0.000053375,0,0
0.000053750,1,0
0.000055000,1,1
0.000056125,1,0
0.000057750,1,1
0.000058917,1,0
0.000059208,0,0
0.000060500,0,1
0.000061667,0,0
0.000062042,1,0
0.000063250,1,1
0.000064417,1,0
0.000064708,0,0
0.000066042,0,1
0.000067167,0,0
0.000068792,0,1
0.000069958,0,0
0.000071542,0,1
0.000072708,0,0
0.000073083,1,0
0.000074292,1,1
0.000075458,1,0
0.000075542,0,0
0.000077083,0,1
0.000078208,0,0
0.000078292,1,0
0.000079833,1,1
0.000081000,1,0
0.000082583,1,1
0.000083750,1,0
0.000085333,1,1
0.000086500,1,0
0.000088125,1,1
0.000089250,1,0
0.000090875,1,1
0.000092042,1,0
0.000093625,1,1
0.000094792,1,0
0.000094875,0,0
0.000096417,0,1
0.000097542,0,0
0.000099167,0,1
0.000100292,0,0
0.000100375,1,0
0.000100667,0,0
0.000102250,0,1
0.000103417,0,0
0.000105042,0,1
0.000106167,0,0
0.000106250,1,0
0.000107792,1,1
0.000108958,1,0
0.000110542,1,1
0.000111708,1,0
0.000111792,0,0
0.000113292,0,1
0.000114458,0,0
0.000116083,0,1
0.000117250,0,0
0.000117292,1,0
0.000118833,1,1
0.000120000,1,0
0.000120083,0,0
0.000121583,0,1
0.000122750,0,0
